group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Decode,Num threads,5,204439,bytes,219327248.0,ns,1
Decode,Num threads,5,204439,bytes,431191210.0,ns,2
Decode,Num threads,5,204439,bytes,648206462.0,ns,3
Decode,Num threads,5,204439,bytes,866671003.0,ns,4
Decode,Num threads,5,204439,bytes,1141451117.0,ns,5
Decode,Num threads,5,204439,bytes,1298727064.0,ns,6
Decode,Num threads,5,204439,bytes,1504726810.0,ns,7
Decode,Num threads,5,204439,bytes,1738841320.0,ns,8
Decode,Num threads,5,204439,bytes,1963858939.0,ns,9
Decode,Num threads,5,204439,bytes,2133843142.0,ns,10
